type,district,upozila,name
MINISTRY,,,MINISTRY
DC,76,,পাবনা
DC,15,,চট্টগ্রাম
DC,30,,ফেনী
DC,12,,ব্রাহ্মণবাড়িয়া
DC,84,,রাঙ্গামাটি
DC,75,,নোয়াখালী
DC,13,,চাঁদপুর
DC,51,,লক্ষ্মীপুর
DC,19,,কুমিল্লা
DC,22,,কক্সবাজার
DC,46,,খাগড়াছড়ি
DC,3,,বান্দরবান
DC,81,,রাজশাহী
DC,88,,সিরাজগঞ্জ
DC,10,,বগুড়া
DC,38,,জয়পুরহাট
DC,69,,নাটোর
DC,70,,চাঁপাইনবাবগঞ্জ
DC,64,,নওগাঁ
DC,47,,খুলনা
DC,41,,যশোর
DC,87,,সাতক্ষীরা
DC,57,,মেহেরপুর
DC,65,,নড়াইল
DC,18,,চুয়াডাঙ্গা
DC,50,,কুষ্টিয়া
DC,55,,মাগুরা
DC,1,,বাগেরহাট
DC,44,,ঝিনাইদহ
DC,6,,বরিশাল
DC,78,,পটুয়াখালী
DC,79,,পিরোজপুর
DC,9,,ভোলা
DC,4,,বরগুনা
DC,42,,ঝালকাঠি
DC,91,,সিলেট
DC,58,,মৌলভীবাজার
DC,36,,হবিগঞ্জ
DC,90,,সুনামগঞ্জ
DC,26,,ঢাকা
DC,68,,নরসিংদী
DC,86,,শরীয়তপুর
DC,67,,নারায়ণগঞ্জ
DC,89,,শেরপুর
DC,93,,টাঙ্গাইল
DC,61,,ময়মনসিংহ
DC,48,,কিশোরগঞ্জ
DC,56,,মানিকগঞ্জ
DC,72,,নেত্রকোণা
DC,59,,মুন্সিগঞ্জ
DC,82,,রাজবাড়ী
DC,39,,জামালপুর
DC,33,,গাজীপুর
DC,54,,মাদারীপুর
DC,35,,গোপালগঞ্জ
DC,29,,ফরিদপুর
DC,85,,রংপুর
DC,77,,পঞ্চগড়
DC,27,,দিনাজপুর
DC,52,,লালমনিরহাট
DC,73,,নীলফামারী
DC,32,,গাইবান্ধা
DC,49,,কুড়িগ্রাম
DC,94,,ঠাকুরগাঁও